Schedule List Name,Audio File,Time,Days,Is Muted,Created Date
Normál,school_bell_2.mp3,07:05,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:33:10
Normál,school_bell_2.mp3,07:45,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:34:03
Normál,school_bell_2.mp3,07:50,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:34:16
Normál,school_bell_2.mp3,08:35,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:35:52
Normál,school_bell_2.mp3,08:45,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:36:11
Normál,school_bell_2.mp3,09:30,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:36:45
Normál,school_bell_2.mp3,09:40,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:37:02
Normál,school_bell_2.mp3,10:25,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:37:37
Normál,school_bell_2.mp3,10:35,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:37:55
Normál,school_bell_2.mp3,11:20,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:38:11
Normál,school_bell_2.mp3,11:30,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:38:42
Normál,school_bell_2.mp3,12:15,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:39:05
Normál,school_bell_2.mp3,12:45,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:40:59
Normál,school_bell_2.mp3,13:30,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:41:15
Normál,school_bell_2.mp3,13:35,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:41:33
Normál,school_bell_2.mp3,14:20,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:41:43
Normál,school_bell_2.mp3,14:25,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:41:56
Normál,school_bell_2.mp3,15:10,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:42:17
Normál,school_bell_2.mp3,15:15,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:42:37
Normál,school_bell_2.mp3,16:00,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:42:48
